Abv,Chemotype,Type
79X,1,mj
ABAC,3,hc_hemp
ABC,1,mj
ACBD,3,hc_hemp
ACDC,3,mj
AH3Ma,1,mj
AH3Mb,1,mj
BBKH,1,mj
BCMa,3,feral
BCMb,3,feral
BH4,1,mj
BH44,4,mj
BH55,1,mj
BLCv1a,3,hemp
BLCv1b,3,hemp
BLYS,1,mj
BOAXa,3,hc_hemp
BOAXb,3,hc_hemp
CALO,1,mj
CANN,1,hc_hemp
CBDRX,3,hc_hemp
CBIO2,1,hc_hemp
CHM9,1,mj
CHMD3,1,mj
CHMD5,1,mj
CNBv1a,1 or 4,asian_hemp
CNBv1b,1 or 4,asian_hemp
COFBa,1,mj
COFBb,1,mj
COSVa,2,F1
COSVb,2,F1
CST53,3,hc_hemp
CST8,2,F1
DCHCC,3,hc_hemp
DPFBa,1,mj
DPFBb,1,mj
DPSVa,2,F1
DPSVb,2,F1
DRBP,1,mj
EH23a,1,mj
EH23b,3,hc_hemp
ERB,3,hc_hemp
F49v1a,2,EXCLUDED
F49v1b,2,EXCLUDED
FB191,4,hc_hemp
FB30,4,hc_hemp
FBHO,1,F1
FCS1a,1,F1
FCS1b,4,F1
FIMv1a,3,feral
FIMv1b,3?,feral
FIN,?,hemp
FMv1a,3?,feral
FMv1b,3?,feral
FOG,1,mj
GERv1a,3,hemp
GERv1b,3,hemp
GMO,1,mj
GRMa,3,hc_hemp
GRMb,3,hc_hemp
GSC,1,mj
H3S1a,1,F1
H3S1b,4,F1
H3S7a,1,F1
H3S7b,4,F1
HO40,1,mj
I3,5,hc_hemp
I52,5,hc_hemp
I53,5,hc_hemp
I59,5,hc_hemp
I61,5,hc_hemp
I68,5,hc_hemp
I75,5,hc_hemp
I78,5,hc_hemp
ITLv1a,1?,hemp
ITLv1b,1?,hemp
JL,4,asian_hemp
JLD,2,F1
JLDSH,2,F1
JLF,2,F1
JLM,2,F1
KCDv1a,3,hemp
KCDv1b,3,hemp
KOMPa,3,hemp
KOMPb,3,hemp
LP10,1,mj
LP6,1,mj
MBFBa,1,mj
MBFBb,1,mj
MBSVa,1,F1
MBSVb,1,F1
MM3v1a,3,hc_hemp
MM3v1b,3,hc_hemp
MNDB,1,mj
NLv1a,1,mj
NLv1b,1,mj
OFBa,1,mj
OFBb,1,mj
OFP5,1,mj
P20,4,hc_hemp
P22,4,hc_hemp
PBBK,1,mj
PK,1,mj
PPFBa,1,mj
PPFBb,1,mj
PTK32,1,mj
PURD,1,mj
PURP,1,mj
S8H2LR,2,F1
S8Ha,2,mj
S8Hb,2,mj
S8LR,3,hc_hemp
SAN2a,4,hemp
SAN2b,4,hemp
SCFB,1,mj
SDFBa,1,mj
SDFBb,1,mj
SDI,1,mj
SG123,4,hc_hemp
SGVA,4,hemp
SH50,3,hc_hemp
SHH24,3,hc_hemp
SHH5a,2,mj
SHH5b,2,mj
SHLR,3,hc_hemp
SK88,1,mj
SKFBa,1,mj
SKFBb,1,mj
SKSV,2,F1
SKTZ,1,mj
SMSQ,1,mj
SN1v3a,4,hemp
SN1v3b,4,hemp
SODLa,1,mj
SODLb,1,mj
SSA1,3,hc_hemp
SSA2,3,hc_hemp
SSH,2,F1
SSHS,3,hc_hemp
SSLR,3,hc_hemp
SSV,3,hc_hemp
STHa,3,mj
