## window/bin size 1000000 bp
## assemblyID	chromID	featureID	chromStartPosition	teCount	totalTELenPerWindow	percentWindow
SODLb	chr7	Mutator_TIR_transposon	0.0	13	4164	0.4164
SODLb	chr7	Mutator_TIR_transposon	1000000.0	15	464962	46.4962
SODLb	chr7	Mutator_TIR_transposon	2000000.0	3	683170	68.31700000000001
SODLb	chr7	Mutator_TIR_transposon	3000000.0	111	350997	35.0997
SODLb	chr7	Mutator_TIR_transposon	4000000.0	196	53760	5.376
SODLb	chr7	Mutator_TIR_transposon	5000000.0	193	47953	4.7953
SODLb	chr7	Mutator_TIR_transposon	6000000.0	134	31739	3.1739
SODLb	chr7	Mutator_TIR_transposon	7000000.0	163	45830	4.583
SODLb	chr7	Mutator_TIR_transposon	8000000.0	163	47425	4.742500000000001
SODLb	chr7	Mutator_TIR_transposon	9000000.0	116	33593	3.3592999999999997
SODLb	chr7	Mutator_TIR_transposon	10000000.0	146	40214	4.0214
SODLb	chr7	Mutator_TIR_transposon	11000000.0	107	30394	3.0394
SODLb	chr7	Mutator_TIR_transposon	12000000.0	118	28619	2.8619
SODLb	chr7	Mutator_TIR_transposon	13000000.0	149	59894	5.9894
SODLb	chr7	Mutator_TIR_transposon	14000000.0	110	34724	3.4724
SODLb	chr7	Mutator_TIR_transposon	15000000.0	104	27626	2.7626
SODLb	chr7	Mutator_TIR_transposon	16000000.0	117	38253	3.8253000000000004
SODLb	chr7	Mutator_TIR_transposon	17000000.0	129	32076	3.2076000000000002
SODLb	chr7	Mutator_TIR_transposon	18000000.0	146	43951	4.395099999999999
SODLb	chr7	Mutator_TIR_transposon	19000000.0	143	41427	4.1427
SODLb	chr7	Mutator_TIR_transposon	20000000.0	161	50495	5.0495
SODLb	chr7	Mutator_TIR_transposon	21000000.0	127	36578	3.6578
SODLb	chr7	Mutator_TIR_transposon	22000000.0	128	35008	3.5008
SODLb	chr7	Mutator_TIR_transposon	23000000.0	124	40663	4.0663
SODLb	chr7	Mutator_TIR_transposon	24000000.0	70	19577	1.9577
SODLb	chr7	Mutator_TIR_transposon	25000000.0	107	29422	2.9422
SODLb	chr7	Mutator_TIR_transposon	26000000.0	134	37806	3.7805999999999997
SODLb	chr7	Mutator_TIR_transposon	27000000.0	113	34407	3.4407
SODLb	chr7	Mutator_TIR_transposon	28000000.0	109	32234	3.2234
SODLb	chr7	Mutator_TIR_transposon	29000000.0	127	34164	3.4164
SODLb	chr7	Mutator_TIR_transposon	30000000.0	120	34607	3.4607
SODLb	chr7	Mutator_TIR_transposon	31000000.0	125	34839	3.4839
SODLb	chr7	Mutator_TIR_transposon	32000000.0	113	27444	2.7444
SODLb	chr7	Mutator_TIR_transposon	33000000.0	106	26952	2.6952
SODLb	chr7	Mutator_TIR_transposon	34000000.0	108	27661	2.7661000000000002
SODLb	chr7	Mutator_TIR_transposon	35000000.0	86	27564	2.7564
SODLb	chr7	Mutator_TIR_transposon	36000000.0	126	77338	7.7338000000000005
SODLb	chr7	Mutator_TIR_transposon	37000000.0	128	73883	7.3883
SODLb	chr7	Mutator_TIR_transposon	38000000.0	148	73984	7.3984
SODLb	chr7	Mutator_TIR_transposon	39000000.0	132	99340	9.934
SODLb	chr7	Mutator_TIR_transposon	40000000.0	107	42915	4.2915
SODLb	chr7	Mutator_TIR_transposon	41000000.0	129	33716	3.3716000000000004
SODLb	chr7	Mutator_TIR_transposon	42000000.0	130	38510	3.8510000000000004
SODLb	chr7	Mutator_TIR_transposon	43000000.0	113	34446	3.4446
SODLb	chr7	Mutator_TIR_transposon	44000000.0	151	38990	3.8989999999999996
SODLb	chr7	Mutator_TIR_transposon	45000000.0	122	34819	3.4819000000000004
SODLb	chr7	Mutator_TIR_transposon	46000000.0	145	39021	3.9021
SODLb	chr7	Mutator_TIR_transposon	47000000.0	113	34099	3.4099
SODLb	chr7	Mutator_TIR_transposon	48000000.0	133	37475	3.7475
SODLb	chr7	Mutator_TIR_transposon	49000000.0	113	34071	3.4071
SODLb	chr7	Mutator_TIR_transposon	50000000.0	136	38376	3.8376
SODLb	chr7	Mutator_TIR_transposon	51000000.0	106	33477	3.3477
SODLb	chr7	Mutator_TIR_transposon	52000000.0	121	35815	3.5815
SODLb	chr7	Mutator_TIR_transposon	53000000.0	118	33548	3.3548
SODLb	chr7	Mutator_TIR_transposon	54000000.0	137	39483	3.9482999999999997
SODLb	chr7	Mutator_TIR_transposon	55000000.0	154	47992	4.7992
SODLb	chr7	Mutator_TIR_transposon	56000000.0	125	36787	3.6787
SODLb	chr7	Mutator_TIR_transposon	57000000.0	106	32362	3.2362
SODLb	chr7	Mutator_TIR_transposon	58000000.0	124	42215	4.221500000000001
SODLb	chr7	Mutator_TIR_transposon	59000000.0	114	35426	3.5425999999999997
SODLb	chr7	Mutator_TIR_transposon	60000000.0	125	36637	3.6637000000000004
SODLb	chr7	Mutator_TIR_transposon	61000000.0	129	36771	3.6771
SODLb	chr7	Mutator_TIR_transposon	62000000.0	148	43926	4.3926
SODLb	chr7	Mutator_TIR_transposon	63000000.0	160	43299	4.329899999999999
SODLb	chr7	Mutator_TIR_transposon	64000000.0	139	38500	3.85
SODLb	chr7	Mutator_TIR_transposon	65000000.0	168	47341	4.7341
SODLb	chr7	Mutator_TIR_transposon	66000000.0	202	60169	6.0169
SODLb	chr7	Mutator_TIR_transposon	67000000.0	173	49852	4.9852
