## window/bin size 1000000 bp
## assemblyID	chromID	position	geneCount
SODLb	chr7	0.0	346
SODLb	chr7	1000000.0	189
SODLb	chr7	2000000.0	1
SODLb	chr7	3000000.0	48
SODLb	chr7	4000000.0	69
SODLb	chr7	5000000.0	99
SODLb	chr7	6000000.0	64
SODLb	chr7	7000000.0	49
SODLb	chr7	8000000.0	34
SODLb	chr7	9000000.0	41
SODLb	chr7	10000000.0	49
SODLb	chr7	11000000.0	47
SODLb	chr7	12000000.0	19
SODLb	chr7	13000000.0	51
SODLb	chr7	14000000.0	19
SODLb	chr7	15000000.0	15
SODLb	chr7	16000000.0	31
SODLb	chr7	17000000.0	17
SODLb	chr7	18000000.0	18
SODLb	chr7	19000000.0	30
SODLb	chr7	20000000.0	21
SODLb	chr7	21000000.0	16
SODLb	chr7	22000000.0	16
SODLb	chr7	23000000.0	23
SODLb	chr7	24000000.0	10
SODLb	chr7	25000000.0	17
SODLb	chr7	26000000.0	21
SODLb	chr7	27000000.0	29
SODLb	chr7	28000000.0	14
SODLb	chr7	29000000.0	15
SODLb	chr7	30000000.0	10
SODLb	chr7	31000000.0	9
SODLb	chr7	32000000.0	16
SODLb	chr7	33000000.0	18
SODLb	chr7	34000000.0	8
SODLb	chr7	35000000.0	4
SODLb	chr7	36000000.0	0
SODLb	chr7	37000000.0	8
SODLb	chr7	38000000.0	1
SODLb	chr7	39000000.0	2
SODLb	chr7	40000000.0	20
SODLb	chr7	41000000.0	6
SODLb	chr7	42000000.0	11
SODLb	chr7	43000000.0	22
SODLb	chr7	44000000.0	16
SODLb	chr7	45000000.0	18
SODLb	chr7	46000000.0	22
SODLb	chr7	47000000.0	18
SODLb	chr7	48000000.0	17
SODLb	chr7	49000000.0	15
SODLb	chr7	50000000.0	19
SODLb	chr7	51000000.0	11
SODLb	chr7	52000000.0	12
SODLb	chr7	53000000.0	20
SODLb	chr7	54000000.0	29
SODLb	chr7	55000000.0	25
SODLb	chr7	56000000.0	32
SODLb	chr7	57000000.0	34
SODLb	chr7	58000000.0	35
SODLb	chr7	59000000.0	34
SODLb	chr7	60000000.0	26
SODLb	chr7	61000000.0	45
SODLb	chr7	62000000.0	50
SODLb	chr7	63000000.0	45
SODLb	chr7	64000000.0	55
SODLb	chr7	65000000.0	66
SODLb	chr7	66000000.0	75
SODLb	chr7	67000000.0	42
SODLb	chr7	68000000.0	83
SODLb	chr7	69000000.0	79
SODLb	chr7	70000000.0	70
