## window/bin size 1000000 bp
## assemblyID	chromID	featureID	chromStartPosition	teCount	totalTELenPerWindow	percentWindow
SODLb	chr7	Ty1_LTR_retrotransposon	0.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	1000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	2000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	3000000.0	3	19765	1.9765000000000001
SODLb	chr7	Ty1_LTR_retrotransposon	4000000.0	6	46975	4.697500000000001
SODLb	chr7	Ty1_LTR_retrotransposon	5000000.0	8	54402	5.4402
SODLb	chr7	Ty1_LTR_retrotransposon	6000000.0	5	28302	2.8302
SODLb	chr7	Ty1_LTR_retrotransposon	7000000.0	9	68513	6.8513
SODLb	chr7	Ty1_LTR_retrotransposon	8000000.0	6	55288	5.5287999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	9000000.0	5	40119	4.0119
SODLb	chr7	Ty1_LTR_retrotransposon	10000000.0	5	28760	2.876
SODLb	chr7	Ty1_LTR_retrotransposon	11000000.0	8	53527	5.3527
SODLb	chr7	Ty1_LTR_retrotransposon	12000000.0	9	58171	5.8171
SODLb	chr7	Ty1_LTR_retrotransposon	13000000.0	5	47197	4.7197000000000005
SODLb	chr7	Ty1_LTR_retrotransposon	14000000.0	4	49215	4.9215
SODLb	chr7	Ty1_LTR_retrotransposon	15000000.0	2	17174	1.7173999999999998
SODLb	chr7	Ty1_LTR_retrotransposon	16000000.0	8	78132	7.813199999999999
SODLb	chr7	Ty1_LTR_retrotransposon	17000000.0	3	31209	3.1209000000000002
SODLb	chr7	Ty1_LTR_retrotransposon	18000000.0	8	80811	8.0811
SODLb	chr7	Ty1_LTR_retrotransposon	19000000.0	6	52287	5.2287
SODLb	chr7	Ty1_LTR_retrotransposon	20000000.0	5	39047	3.9047
SODLb	chr7	Ty1_LTR_retrotransposon	21000000.0	6	51770	5.177
SODLb	chr7	Ty1_LTR_retrotransposon	22000000.0	4	35964	3.5964000000000005
SODLb	chr7	Ty1_LTR_retrotransposon	23000000.0	5	52355	5.2355
SODLb	chr7	Ty1_LTR_retrotransposon	24000000.0	2	15207	1.5207
SODLb	chr7	Ty1_LTR_retrotransposon	25000000.0	8	72864	7.2863999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	26000000.0	5	50238	5.0238
SODLb	chr7	Ty1_LTR_retrotransposon	27000000.0	5	53333	5.3332999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	28000000.0	4	31643	3.1643
SODLb	chr7	Ty1_LTR_retrotransposon	29000000.0	3	29081	2.9081
SODLb	chr7	Ty1_LTR_retrotransposon	30000000.0	4	46943	4.6943
SODLb	chr7	Ty1_LTR_retrotransposon	31000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	32000000.0	3	23313	2.3313
SODLb	chr7	Ty1_LTR_retrotransposon	33000000.0	6	71478	7.1478
SODLb	chr7	Ty1_LTR_retrotransposon	34000000.0	7	69396	6.9395999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	35000000.0	5	50698	5.0698
SODLb	chr7	Ty1_LTR_retrotransposon	36000000.0	1	7089	0.7089
SODLb	chr7	Ty1_LTR_retrotransposon	37000000.0	1	10077	1.0076999999999998
SODLb	chr7	Ty1_LTR_retrotransposon	38000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	39000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	40000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	41000000.0	4	42253	4.2253
SODLb	chr7	Ty1_LTR_retrotransposon	42000000.0	6	65449	6.544899999999999
SODLb	chr7	Ty1_LTR_retrotransposon	43000000.0	5	50594	5.0594
SODLb	chr7	Ty1_LTR_retrotransposon	44000000.0	1	10175	1.0175
SODLb	chr7	Ty1_LTR_retrotransposon	45000000.0	10	86104	8.6104
SODLb	chr7	Ty1_LTR_retrotransposon	46000000.0	3	38972	3.8971999999999998
SODLb	chr7	Ty1_LTR_retrotransposon	47000000.0	7	66074	6.607399999999999
SODLb	chr7	Ty1_LTR_retrotransposon	48000000.0	8	68097	6.8097
SODLb	chr7	Ty1_LTR_retrotransposon	49000000.0	5	50880	5.088
SODLb	chr7	Ty1_LTR_retrotransposon	50000000.0	5	50823	5.0823
SODLb	chr7	Ty1_LTR_retrotransposon	51000000.0	6	56060	5.606
SODLb	chr7	Ty1_LTR_retrotransposon	52000000.0	6	59645	5.964499999999999
SODLb	chr7	Ty1_LTR_retrotransposon	53000000.0	10	91225	9.1225
SODLb	chr7	Ty1_LTR_retrotransposon	54000000.0	7	71253	7.125299999999999
SODLb	chr7	Ty1_LTR_retrotransposon	55000000.0	7	75193	7.519299999999999
SODLb	chr7	Ty1_LTR_retrotransposon	56000000.0	6	45506	4.5506
SODLb	chr7	Ty1_LTR_retrotransposon	57000000.0	8	61109	6.1109
SODLb	chr7	Ty1_LTR_retrotransposon	58000000.0	7	50087	5.0087
SODLb	chr7	Ty1_LTR_retrotransposon	59000000.0	6	45330	4.533
SODLb	chr7	Ty1_LTR_retrotransposon	60000000.0	4	36383	3.6383
SODLb	chr7	Ty1_LTR_retrotransposon	61000000.0	5	40844	4.0844
SODLb	chr7	Ty1_LTR_retrotransposon	62000000.0	5	48176	4.8176
SODLb	chr7	Ty1_LTR_retrotransposon	63000000.0	6	46818	4.6818
SODLb	chr7	Ty1_LTR_retrotransposon	64000000.0	1	6971	0.6970999999999999
SODLb	chr7	Ty1_LTR_retrotransposon	65000000.0	6	60981	6.0981
SODLb	chr7	Ty1_LTR_retrotransposon	66000000.0	6	36719	3.6719
SODLb	chr7	Ty1_LTR_retrotransposon	67000000.0	7	41348	4.1348
SODLb	chr7	Ty1_LTR_retrotransposon	68000000.0	4	27767	2.7767
SODLb	chr7	Ty1_LTR_retrotransposon	69000000.0	0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	70000000.0	0	0	0.0
SODLb	chr7	unknown_LTR_retrotransposon	0.0	0	0	0.0
SODLb	chr7	unknown_LTR_retrotransposon	1000000.0	0	0	0.0
SODLb	chr7	unknown_LTR_retrotransposon	2000000.0	0	0	0.0
SODLb	chr7	unknown_LTR_retrotransposon	3000000.0	1	1478	0.1478
SODLb	chr7	unknown_LTR_retrotransposon	4000000.0	1	10090	1.009
SODLb	chr7	unknown_LTR_retrotransposon	5000000.0	3	22364	2.2363999999999997
SODLb	chr7	unknown_LTR_retrotransposon	6000000.0	1	9695	0.9695
SODLb	chr7	unknown_LTR_retrotransposon	7000000.0	3	30280	3.028
