## window/bin size 1000000 bp
## assemblyID	chromID	featureID	timeID	chromStartPosition	specificTECount	teCount	totalTELenPerWindow	percentWindow	averageTime	specificTimeTEPercent
## Time units are in millions of years
SODLb	chr7	Mutator_TIR_transposon	0_5	0.0	3	13	4164	0.4164	4.8360655737704965	0.0666
SODLb	chr7	Mutator_TIR_transposon	0_5	1000000.0	2	15	464962	46.4962	4.8360655737704965	0.0444
SODLb	chr7	Mutator_TIR_transposon	0_5	2000000.0	0	3	683170	68.31700000000001	0	0.0
SODLb	chr7	Mutator_TIR_transposon	0_5	3000000.0	6	111	350997	35.0997	2.4043715846994522	0.539
SODLb	chr7	Mutator_TIR_transposon	0_5	4000000.0	10	196	53760	5.376	3.3934426229508197	0.5089
SODLb	chr7	Mutator_TIR_transposon	0_5	5000000.0	16	193	47953	4.7953	4.190573770491804	0.41070000000000007
SODLb	chr7	Mutator_TIR_transposon	0_5	6000000.0	7	134	31739	3.1739	5.245901639344262	0.1936
SODLb	chr7	Mutator_TIR_transposon	0_5	7000000.0	17	163	45830	4.583	4.209257473481196	0.4993
SODLb	chr7	Mutator_TIR_transposon	0_5	8000000.0	11	163	47425	4.742500000000001	3.099850968703428	0.4619
SODLb	chr7	Mutator_TIR_transposon	0_5	9000000.0	11	116	33593	3.3592999999999997	3.353204172876304	0.4908
SODLb	chr7	Mutator_TIR_transposon	0_5	10000000.0	6	146	40214	4.0214	5.150273224043715	0.10709999999999999
SODLb	chr7	Mutator_TIR_transposon	0_5	11000000.0	6	107	30394	3.0394	2.049180327868854	0.3656
SODLb	chr7	Mutator_TIR_transposon	0_5	12000000.0	2	118	28619	2.8619	5.204918032786885	0.0378
SODLb	chr7	Mutator_TIR_transposon	0_5	13000000.0	12	149	59894	5.9894	3.6885245901639365	0.3598
SODLb	chr7	Mutator_TIR_transposon	0_5	14000000.0	12	110	34724	3.4724	4.207650273224044	0.2873
SODLb	chr7	Mutator_TIR_transposon	0_5	15000000.0	7	104	27626	2.7626	3.899297423887591	0.1166
SODLb	chr7	Mutator_TIR_transposon	0_5	16000000.0	9	117	38253	3.8253000000000004	4.034608378870675	0.2174
SODLb	chr7	Mutator_TIR_transposon	0_5	17000000.0	10	129	32076	3.2076000000000002	4.2131147540983624	0.1805
SODLb	chr7	Mutator_TIR_transposon	0_5	18000000.0	16	146	43951	4.395099999999999	3.9549180327868876	0.6182
SODLb	chr7	Mutator_TIR_transposon	0_5	19000000.0	6	143	41427	4.1427	4.0437158469945365	0.17129999999999998
SODLb	chr7	Mutator_TIR_transposon	0_5	20000000.0	14	161	50495	5.0495	4.26814988290398	0.7306
SODLb	chr7	Mutator_TIR_transposon	0_5	21000000.0	11	127	36578	3.6578	4.307004470938896	0.3828
SODLb	chr7	Mutator_TIR_transposon	0_5	22000000.0	2	128	35008	3.5008	5.245901639344263	0.0468
SODLb	chr7	Mutator_TIR_transposon	0_5	23000000.0	7	124	40663	4.0663	3.8641686182669823	0.1525
SODLb	chr7	Mutator_TIR_transposon	0_5	24000000.0	4	70	19577	1.9577	3.6065573770491817	0.0816
SODLb	chr7	Mutator_TIR_transposon	0_5	25000000.0	2	107	29422	2.9422	3.9754098360655767	0.031100000000000003
SODLb	chr7	Mutator_TIR_transposon	0_5	26000000.0	15	134	37806	3.7805999999999997	3.737704918032789	0.5107
SODLb	chr7	Mutator_TIR_transposon	0_5	27000000.0	8	113	34407	3.4407	4.32377049180328	0.1869
SODLb	chr7	Mutator_TIR_transposon	0_5	28000000.0	11	109	32234	3.2234	4.791356184798809	0.2748
SODLb	chr7	Mutator_TIR_transposon	0_5	29000000.0	8	127	34164	3.4164	4.118852459016396	0.1769
SODLb	chr7	Mutator_TIR_transposon	0_5	30000000.0	11	120	34607	3.4607	4.202682563338301	0.21080000000000002
SODLb	chr7	Mutator_TIR_transposon	0_5	31000000.0	2	125	34839	3.4839	3.606557377049179	0.07529999999999999
SODLb	chr7	Mutator_TIR_transposon	0_5	32000000.0	4	113	27444	2.7444	4.03688524590164	0.0841
SODLb	chr7	Mutator_TIR_transposon	0_5	33000000.0	7	106	26952	2.6952	3.3957845433255285	0.1604
SODLb	chr7	Mutator_TIR_transposon	0_5	34000000.0	7	108	27661	2.7661000000000002	4.707259953161594	0.1413
SODLb	chr7	Mutator_TIR_transposon	0_5	35000000.0	7	86	27564	2.7564	4.098360655737706	0.16390000000000002
SODLb	chr7	Mutator_TIR_transposon	0_5	36000000.0	1	126	77338	7.7338000000000005	2.622950819672133	0.0156
SODLb	chr7	Mutator_TIR_transposon	0_5	37000000.0	1	128	73883	7.3883	3.688524590163938	0.0156
SODLb	chr7	Mutator_TIR_transposon	0_5	38000000.0	0	148	73984	7.3984	0	0.0
SODLb	chr7	Mutator_TIR_transposon	0_5	39000000.0	1	132	99340	9.934	5.819672131147537	0.0112
SODLb	chr7	Mutator_TIR_transposon	0_5	40000000.0	8	107	42915	4.2915	3.493852459016395	0.148
SODLb	chr7	Mutator_TIR_transposon	0_5	41000000.0	7	129	33716	3.3716000000000004	3.899297423887588	0.1477
SODLb	chr7	Mutator_TIR_transposon	0_5	42000000.0	3	130	38510	3.8510000000000004	3.497267759562844	0.053700000000000005
SODLb	chr7	Mutator_TIR_transposon	0_5	43000000.0	14	113	34446	3.4446	3.6533957845433274	0.6664
SODLb	chr7	Mutator_TIR_transposon	0_5	44000000.0	9	151	38990	3.8989999999999996	3.670309653916211	0.22799999999999998
SODLb	chr7	Mutator_TIR_transposon	0_5	45000000.0	5	122	34819	3.4819000000000004	2.688524590163935	0.0891
SODLb	chr7	Mutator_TIR_transposon	0_5	46000000.0	11	145	39021	3.9021	4.172876304023847	0.22769999999999999
SODLb	chr7	Mutator_TIR_transposon	0_5	47000000.0	8	113	34099	3.4099	3.6987704918032795	0.1646
SODLb	chr7	Mutator_TIR_transposon	0_5	48000000.0	8	133	37475	3.7475	3.8729508196721327	0.1625
SODLb	chr7	Mutator_TIR_transposon	0_5	49000000.0	5	113	34071	3.4071	4.491803278688527	0.13060000000000002
SODLb	chr7	Mutator_TIR_transposon	0_5	50000000.0	20	136	38376	3.8376	3.8975409836065595	0.5923999999999999
SODLb	chr7	Mutator_TIR_transposon	0_5	51000000.0	5	106	33477	3.3477	4.131147540983607	0.0888
SODLb	chr7	Mutator_TIR_transposon	0_5	52000000.0	5	121	35815	3.5815	5.0655737704918025	0.1242
SODLb	chr7	Mutator_TIR_transposon	0_5	53000000.0	2	118	33548	3.3548	4.01639344262295	0.0348
SODLb	chr7	Mutator_TIR_transposon	0_5	54000000.0	5	137	39483	3.9482999999999997	2.9016393442622954	0.121
SODLb	chr7	Mutator_TIR_transposon	0_5	55000000.0	12	154	47992	4.7992	3.4016393442622976	0.2876
SODLb	chr7	Mutator_TIR_transposon	0_5	56000000.0	6	125	36787	3.6787	3.7295081967213135	0.5921
SODLb	chr7	Mutator_TIR_transposon	0_5	57000000.0	5	106	32362	3.2362	2.786885245901642	0.0871
SODLb	chr7	Mutator_TIR_transposon	0_5	58000000.0	0	124	42215	4.221500000000001	0	0.0
SODLb	chr7	Mutator_TIR_transposon	0_5	59000000.0	14	114	35426	3.5425999999999997	4.391100702576114	0.4511
SODLb	chr7	Mutator_TIR_transposon	0_5	60000000.0	14	125	36637	3.6637000000000004	3.9227166276346637	0.3378
SODLb	chr7	Mutator_TIR_transposon	0_5	61000000.0	13	129	36771	3.6771	3.9596469104665846	0.4243
SODLb	chr7	Mutator_TIR_transposon	0_5	62000000.0	15	148	43926	4.3926	2.950819672131149	0.4592
SODLb	chr7	Mutator_TIR_transposon	0_5	63000000.0	16	160	43299	4.329899999999999	3.898565573770492	0.5685
SODLb	chr7	Mutator_TIR_transposon	0_5	64000000.0	9	139	38500	3.85	3.8615664845173074	0.1792
SODLb	chr7	Mutator_TIR_transposon	0_5	65000000.0	13	168	47341	4.7341	3.1967213114754127	0.2762
SODLb	chr7	Mutator_TIR_transposon	0_5	66000000.0	15	202	60169	6.0169	4.59016393442623	0.4602
SODLb	chr7	Mutator_TIR_transposon	0_5	67000000.0	18	173	49852	4.9852	3.387978142076504	0.67
SODLb	chr7	Mutator_TIR_transposon	0_5	68000000.0	21	274	68462	6.8462	4.301327088212335	0.6348
