## window/bin size 1000000 bp
## assemblyID	chromID	featureID	timeID	chromStartPosition	specificTECount	teCount	totalTELenPerWindow	percentWindow	averageTime	specificTimeTEPercent
## Time units are in millions of years
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	0.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	1000000.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	2000000.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	3000000.0	3	3	19765	1.9765000000000001	0.051912568306011285	1.9765000000000001
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	4000000.0	6	6	46975	4.697500000000001	0.5136612021857919	4.697500000000001
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	5000000.0	8	8	54402	5.4402	0.884221311475409	5.4402
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	6000000.0	5	5	28302	2.8302	0.38360655737704874	2.8302
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	7000000.0	9	9	68513	6.8513	0.3633879781420769	6.8513
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	8000000.0	6	6	55288	5.5287999999999995	0.7950819672131151	5.5287999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	9000000.0	5	5	40119	4.0119	0.5590163934426233	4.0119
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	10000000.0	5	5	28760	2.876	0.4049180327868843	2.876
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	11000000.0	8	8	53527	5.3527	0.6331967213114751	5.3527
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	12000000.0	9	9	58171	5.8171	1.2768670309653916	5.8171
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	13000000.0	5	5	47197	4.7197000000000005	0.5508196721311488	4.7197000000000005
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	14000000.0	4	4	49215	4.9215	2.4774590163934427	4.9215
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	15000000.0	2	2	17174	1.7173999999999998	0.7950819672131135	1.7173999999999998
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	16000000.0	8	8	78132	7.813199999999999	1.9467213114754105	7.813199999999999
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	17000000.0	3	3	31209	3.1209000000000002	0.8852459016393439	3.1209000000000002
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	18000000.0	8	8	80811	8.0811	0.5932377049180323	8.0811
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	19000000.0	6	6	52287	5.2287	1.1379781420765032	5.2287
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	20000000.0	5	5	39047	3.9047	1.0213114754098362	3.9047
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	21000000.0	6	6	51770	5.177	1.4412568306010949	5.177
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	22000000.0	4	4	35964	3.5964000000000005	0.6086065573770504	3.5964000000000005
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	23000000.0	5	5	52355	5.2355	1.1770491803278684	5.2355
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	24000000.0	2	2	15207	1.5207	0.38524590163934275	1.5207
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	25000000.0	8	8	72864	7.2863999999999995	1.2243852459016389	7.2863999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	26000000.0	5	5	50238	5.0238	1.3803278688524598	5.0238
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	27000000.0	5	5	53333	5.3332999999999995	1.5950819672131138	5.3332999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	28000000.0	4	4	31643	3.1643	1.1844262295081982	3.1643
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	29000000.0	3	3	29081	2.9081	1.3087431693989084	2.9081
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	30000000.0	4	4	46943	4.6943	2.030737704918034	4.6943
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	31000000.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	32000000.0	3	3	23313	2.3313	0.2595628415300533	2.3313
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	33000000.0	6	6	71478	7.1478	1.092896174863389	7.1478
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	34000000.0	7	7	69396	6.9395999999999995	1.1358313817330195	6.9395999999999995
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	35000000.0	5	5	50698	5.0698	1.519672131147543	5.0698
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	36000000.0	1	1	7089	0.7089	1.0081967213114735	0.7089
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	37000000.0	1	1	10077	1.0076999999999998	1.2786885245901596	1.0076999999999998
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	38000000.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	39000000.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	40000000.0	0	0	0	0.0	0	0.0
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	41000000.0	4	4	42253	4.2253	2.2254098360655745	4.2253
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	42000000.0	6	6	65449	6.544899999999999	0.9740437158469949	6.544899999999999
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	43000000.0	5	5	50594	5.0594	1.1721311475409837	5.0594
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	44000000.0	1	1	10175	1.0175	1.081967213114753	1.0175
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	45000000.0	9	10	86104	8.6104	0.6539162112932603	8.1202
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	46000000.0	3	3	38972	3.8971999999999998	1.7622950819672105	3.8971999999999998
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	47000000.0	7	7	66074	6.607399999999999	2.09367681498829	6.607399999999999
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	48000000.0	8	8	68097	6.8097	1.1372950819672143	6.8097
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	49000000.0	5	5	50880	5.088	0.6229508196721298	5.088
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	50000000.0	5	5	50823	5.0823	0.9491803278688516	5.0823
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	51000000.0	6	6	56060	5.606	0.5286885245901634	5.606
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	52000000.0	6	6	59645	5.964499999999999	2.1516393442622945	5.964499999999999
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	53000000.0	10	10	91225	9.1225	0.44426229508196735	9.1225
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	54000000.0	7	7	71253	7.125299999999999	0.7564402810304447	7.125299999999999
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	55000000.0	7	7	75193	7.519299999999999	1.530444964871195	7.519299999999999
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	56000000.0	6	6	45506	4.5506	0.5601092896174868	4.5506
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	57000000.0	7	8	61109	6.1109	1.962529274004685	5.4519
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	58000000.0	7	7	50087	5.0087	0.26112412177985933	5.0087
SODLb	chr7	Ty1_LTR_retrotransposon	0_5	59000000.0	6	6	45330	4.533	1.3893442622950805	4.533
